Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
17;2017;1231;Rivers, Philip;QB;lac;h;oak;27.98;0
17;2017;1340;Stafford, Matthew;QB;det;h;gnb;27.12;0
17;2017;1465;Winston, Jameis;QB;tam;h;nor;26.72;0
17;2017;1517;Kizer, DeShone;QB;gnb;a;det;25.66;0
17;2017;1403;Dalton, Andy;QB;cin;a;bal;20.68;0
17;2017;1412;Wilson, Russell;QB;sea;h;ari;20.44;0
17;2017;1476;Fales, David;QB;mia;h;buf;20.4;0
17;2017;1301;Ryan, Matt;QB;atl;h;car;18.08;0
17;2017;1452;Garoppolo, Jimmy;QB;sfo;a;lar;17.58;0
17;2017;1400;Taylor, Tyrod;QB;cle;a;pit;15.66;0
17;2017;1131;Brady, Tom;QB;nwe;h;nyj;15.6;0
17;2017;1516;Lynch, Paxton;QB;den;h;kan;15.46;0
17;2017;1302;Flacco, Joe;QB;bal;h;cin;15.12;0
17;2017;1378;Newton, Cam;QB;car;a;atl;14.1;0
17;2017;1151;Brees, Drew;QB;nor;a;tam;14;0
17;2017;1466;Mariota, Marcus;QB;ten;h;jac;13.36;0
17;2017;1501;Prescott, Dak;QB;dal;a;phi;12.76;0
17;2017;1470;Hundley, Brett;QB;sea;h;ari;11.88;0
17;2017;1435;Keenum, Case;QB;den;h;kan;11.56;0
17;2017;1523;Mahomes II, Patrick;QB;kan;a;den;11.36;0
17;2017;1441;Carr, Derek;QB;oak;a;lac;10.82;0
17;2017;1415;Cousins, Kirk;QB;min;h;chi;10.52;0
17;2017;1496;Brissett, Jacoby;QB;ind;h;hou;10.36;0
17;2017;1430;Jones, Landry;QB;pit;h;cle;9.96;0
17;2017;1472;Petty, Bryce;QB;mia;h;buf;9.18;0
17;2017;1290;Stanton, Drew;QB;cle;a;pit;8.7;0
17;2017;1225;Manning, Eli;QB;nyg;h;was;7.88;0
17;2017;1507;Sudfeld, Nate;QB;phi;h;dal;7.56;0
17;2017;1519;Trubisky, Mitchell;QB;chi;a;min;7.32;0
17;2017;1399;Yates, T.J.;QB;hou;a;ind;5.38;
17;2017;1442;Bortles, Blake;QB;jac;a;ten;5.22;0
17;2017;1484;Mannion, Sean;QB;lar;h;sfo;5.16;0
17;2017;1413;Foles, Nick;QB;phi;h;dal;0.56;0
17;2017;1510;Callahan, Joe;QB;phi;h;dal;0.44;0
17;2017;1263;Cutler, Jay;QB;mia;h;buf;0.24;
17;2017;1336;Hoyer, Brian;QB;nwe;h;nyj;0.2;0
17;2017;1262;Clemens, Kellen;QB;lac;h;oak;-0.2;
17;2017;1418;Bray, Tyler;QB;chi;a;min;-2;0
17;2017;2816;Lewis, Dion;RB;ten;h;jac;28.3;0
17;2017;5562;Kamara, Alvin;RB;nor;a;tam;27.8;0
17;2017;2899;Murray, Latavius;RB;min;h;chi;23.9;0
17;2017;2976;Darkwa, Orleans;RB;nyg;h;was;21.4;
17;2017;2930;Freeman, Devonta;RB;atl;h;car;21.3;0
17;2017;2933;Hyde, Carlos;RB;cle;a;pit;21;0
17;2017;5445;Henry, Derrick;RB;ten;h;jac;18.2;0
17;2017;5450;Collins, Alex;RB;bal;h;cin;16.6;0
17;2017;2997;Johnson, Duke;RB;cle;a;pit;16.5;0
17;2017;5507;Barber, Peyton;RB;tam;h;nor;15.9;0
17;2017;5444;Elliott, Ezekiel;RB;dal;a;phi;15.6;0
17;2017;5534;Fournette, Leonard;RB;jac;a;ten;15.6;0
17;2017;2960;Blue, Alfred;RB;hou;a;ind;15.5;0
17;2017;2991;Gordon, Melvin;RB;lac;h;oak;15.4;0
17;2017;2829;Ridley, Stevan;RB;pit;h;cle;14;0
17;2017;2963;Bibbs, Kapri;RB;was;a;nyg;14;0
17;2017;2822;Sherman, Anthony;RB;kan;a;den;13.6;0
17;2017;2552;Lynch, Marshawn;RB;oak;a;lac;12.9;0
17;2017;5541;Williams, Jamaal;RB;gnb;a;det;12.8;0
17;2017;2467;Gore, Frank;RB;mia;h;buf;12.6;0
17;2017;5567;Breida, Matt;RB;sfo;a;lar;10.9;0
