Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
4;2017;1518;Watson, Deshaun;QB;hou;h;ten;34.72;200
4;2017;1378;Newton, Cam;QB;car;a;nwe;34.04;100
4;2017;1412;Wilson, Russell;QB;sea;h;ind;29.6;900
4;2017;1403;Dalton, Andy;QB;cin;a;cle;28.34;800
4;2017;1225;Manning, Eli;QB;nyg;a;tam;27.72;300
4;2017;1254;Smith, Alex;QB;was;a;kan;27.32;900
4;2017;1465;Winston, Jameis;QB;tam;h;nyg;26.48;500
4;2017;1501;Prescott, Dak;QB;dal;h;lar;23.58;0
4;2017;1252;Rodgers, Aaron;QB;gnb;h;chi;23.06;700
4;2017;1415;Cousins, Kirk;QB;min;h;det;20.6;600
4;2017;1131;Brady, Tom;QB;nwe;h;car;20.48;600
4;2017;1231;Rivers, Philip;QB;lac;h;phi;19.88;500
4;2017;1151;Brees, Drew;QB;nor;a;mia;19.02;400
4;2017;1490;Goff, Jared;QB;lar;a;dal;18.1;500
4;2017;1466;Mariota, Marcus;QB;ten;a;hou;17.74;200
4;2017;1207;Palmer, Carson;QB;ari;h;sfo;17.38;
4;2017;1514;Wentz, Carson;QB;phi;a;lac;15.08;700
4;2017;1400;Taylor, Tyrod;QB;cle;h;cin;12.48;600
4;2017;1442;Bortles, Blake;QB;jac;a;nyj;12.4;600
4;2017;1232;Roethlisberger, Ben;QB;pit;a;bal;11.54;0
4;2017;1302;Flacco, Joe;QB;bal;h;pit;11.4;100
4;2017;1488;Siemian, Trevor;QB;min;h;det;11.26;0
4;2017;1496;Brissett, Jacoby;QB;ind;a;sea;10.58;100
4;2017;1301;Ryan, Matt;QB;atl;h;buf;10.48;0
4;2017;1340;Stafford, Matthew;QB;det;a;min;10.06;800
4;2017;1441;Carr, Derek;QB;oak;a;den;9.72;600
4;2017;1435;Keenum, Case;QB;den;h;oak;8.76;300
4;2017;1336;Hoyer, Brian;QB;sfo;a;ari;8.66;0
4;2017;1420;Glennon, Mike;QB;ari;h;sfo;6.72;0
4;2017;1263;Cutler, Jay;QB;mia;h;nor;6.06;
4;2017;1175;McCown, Josh;QB;nyj;h;jac;5.96;300
4;2017;1517;Kizer, DeShone;QB;gnb;h;chi;4.72;0
4;2017;1421;Manuel, E.J.;QB;oak;a;den;3.24;0
4;2017;1495;Hogan, Kevin;QB;was;a;kan;2.6;0
4;2017;1467;McCarron, A.J.;QB;buf;a;atl;0;100
4;2017;1241;Cassel, Matt;QB;det;a;min;-3.16;0
4;2017;2888;Bell, Le'Veon;RB;pit;a;bal;32.6;900
4;2017;2992;Gurley, Todd;RB;lar;a;dal;31;0
4;2017;5444;Elliott, Ezekiel;RB;dal;h;lar;27.9;300
4;2017;2859;Miller, Lamar;RB;hou;h;ten;27.1;500
4;2017;2819;Powell, Bilal;RB;nyj;h;jac;27;400
4;2017;5534;Fournette, Leonard;RB;jac;a;nyj;22.5;0
4;2017;5562;Kamara, Alvin;RB;nor;a;mia;20.6;700
4;2017;5544;McGuire, Elijah;RB;nyj;h;jac;20.1;800
4;2017;5586;McKissic, J.D.;RB;sea;h;ind;19;500
4;2017;2995;Abdullah, Ameer;RB;det;a;min;18.4;0
4;2017;2997;Johnson, Duke;RB;cle;h;cin;16.5;800
4;2017;2994;Coleman, Tevin;RB;atl;h;buf;16.4;900
4;2017;2721;Blount, LeGarrette;RB;det;a;min;16.1;300
4;2017;5473;Smallwood, Wendell;RB;phi;a;lac;15.9;500
4;2017;2889;Bernard, Giovani;RB;cin;a;cle;15.4;400
4;2017;2892;Ellington, Andre;RB;ari;h;sfo;14.9;
4;2017;2930;Freeman, Devonta;RB;atl;h;buf;14.8;100
4;2017;5560;Hunt, Kareem;RB;kan;h;was;14.1;0
4;2017;5447;Howard, Jordan;RB;chi;a;gnb;13.3;400
4;2017;2924;Anderson, C.J.;RB;car;a;nwe;13.2;700
4;2017;5575;Ekeler, Austin;RB;lac;h;phi;12.8;100
4;2017;2707;McCoy, LeSean;RB;buf;a;atl;12.3;300
4;2017;2933;Hyde, Carlos;RB;cle;h;cin;12;900
4;2017;5547;Gallman, Wayne;RB;nyg;a;tam;12;800
4;2017;5559;Cook, Dalvin;RB;min;h;det;11.9;300
4;2017;2818;Rodgers, Jacquizz;RB;tam;h;nyg;11.8;500
4;2017;5543;Jones, Aaron;RB;gnb;h;chi;10.9;0
4;2017;2916;Whittaker, Fozzy;RB;car;a;nwe;10.9;
4;2017;2954;White, James;RB;nwe;h;car;10.4;500
4;2017;2467;Gore, Frank;RB;mia;h;nor;9.5;300
4;2017;2816;Lewis, Dion;RB;ten;a;hou;9.2;200
4;2017;2793;Ingram, Mark;RB;nor;a;mia;8.2;400
4;2017;5565;Carson, Chris;RB;sea;h;ind;8.1;900
4;2017;2645;Johnson, Chris;RB;ari;h;sfo;7.8;
4;2017;2871;Morris, Alfred;RB;sfo;a;ari;7.6;500
4;2017;5370;Allen, Javorius;RB;bal;h;pit;7.4;900
4;2017;5536;McCaffrey, Christian;RB;car;a;nwe;6.9;500
4;2017;5535;Mixon, Joe;RB;cin;a;cle;6.8;900
4;2017;5564;Cohen, Tarik;RB;chi;a;gnb;6.8;600
4;2017;2867;Turbin, Robert;RB;ind;a;sea;6.8;500
4;2017;5450;Collins, Alex;RB;bal;h;pit;6.2;700
4;2017;2987;West, Charcandrick;RB;kan;h;was;6;500
4;2017;2998;Ajayi, Jay;RB;mia;h;nor;5.9;400
4;2017;2896;Lacy, Eddie;RB;sea;h;ind;5.2;
4;2017;2629;Charles, Jamaal;RB;den;h;oak;5.2;
4;2017;2741;Ivory, Chris;RB;buf;a;atl;4.9;700
4;2017;2894;Gillislee, Mike;RB;nor;a;mia;4.9;600
4;2017;2612;Stewart, Jonathan;RB;nyg;a;tam;4.8;0
4;2017;2831;Murray, DeMarco;RB;ten;a;hou;4.5;
4;2017;5539;Foreman, D'Onta;RB;hou;h;ten;4.5;500
4;2017;2899;Murray, Latavius;RB;min;h;det;3.9;500
4;2017;2908;Juszczyk, Kyle;RB;sfo;a;ari;3.8;500
4;2017;2991;Gordon, Melvin;RB;lac;h;phi;3.4;100
4;2017;2969;Crowell, Isaiah;RB;nyj;h;jac;3.2;100
4;2017;5490;Richard, Jalen;RB;oak;a;den;3.2;600
4;2017;2647;Tolbert, Mike;RB;buf;a;atl;3.1;
4;2017;2928;Hill, Jeremy;RB;nwe;h;car;3.1;600
4;2017;2830;Vereen, Shane;RB;nor;a;mia;3;500
4;2017;5583;Clement, Corey;RB;phi;a;lac;3;0
4;2017;5392;Montgomery, Ty;RB;gnb;h;chi;2.8;700
4;2017;5538;Perine, Samaje;RB;was;a;kan;2.7;500
4;2017;2931;Sims, Charles;RB;tam;h;nyg;2.6;600
4;2017;2911;Cunningham, Benny;RB;chi;a;gnb;2.6;500
4;2017;5537;Conner, James;RB;pit;a;bal;2.6;0
4;2017;5567;Breida, Matt;RB;sfo;a;ari;2.5;0
4;2017;2913;Olawale, Jamize;RB;dal;h;lar;2.5;500
4;2017;2825;Develin, James;RB;nwe;h;car;2.4;500
4;2017;2910;Bohanon, Tommy;RB;jac;a;nyj;2.4;500
4;2017;5472;Perkins, Paul;RB;nyg;a;tam;2.4;
4;2017;5493;Kelley, Rob;RB;was;a;kan;2.3;500
4;2017;5446;Drake, Kenyan;RB;mia;h;nor;2.1;600
4;2017;5441;Brown, Malcolm;RB;lar;a;dal;1.9;0
4;2017;5541;Williams, Jamaal;RB;gnb;h;chi;1.8;100
4;2017;2907;Riddick, Theo;RB;det;a;min;1.7;400
4;2017;2909;Coleman, Derrick;RB;ari;h;sfo;1.6;500
4;2017;5406;Ripkowski, Aaron;RB;gnb;h;chi;1.5;500
4;2017;5468;Booker, Devontae;RB;den;h;oak;1.4;0
4;2017;2918;Williams, Kerwynn;RB;kan;h;was;1.4;500
4;2017;2915;Thompson, Chris;RB;was;a;kan;1.2;200
4;2017;2552;Lynch, Marshawn;RB;oak;a;den;1.2;300
4;2017;2960;Blue, Alfred;RB;hou;h;ten;1.2;0
4;2017;3552;Jones, Matt;RB;phi;a;lac;1.1;500
4;2017;5405;Grant, Corey;RB;jac;a;nyj;0.9;500
