Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
5;2017;1518;Watson, Deshaun;QB;hou;h;kan;35.54;518
5;2017;1501;Prescott, Dak;QB;dal;h;gnb;30.74;501
5;2017;1514;Wentz, Carson;QB;phi;h;ari;28.26;514
5;2017;1254;Smith, Alex;QB;was;h;-;26.86;254
5;2017;1378;Newton, Cam;QB;car;a;det;26.2;378
5;2017;1252;Rodgers, Aaron;QB;gnb;a;dal;24.04;252
5;2017;1336;Hoyer, Brian;QB;sfo;a;ind;22.12;336
5;2017;1231;Rivers, Philip;QB;lac;a;nyg;21.82;231
5;2017;1496;Brissett, Jacoby;QB;ind;h;sfo;18.96;496
5;2017;1465;Winston, Jameis;QB;tam;h;nwe;18.46;465
5;2017;1495;Hogan, Kevin;QB;was;h;-;17.76;495
5;2017;1207;Palmer, Carson;QB;ari;a;phi;15.64;
5;2017;1403;Dalton, Andy;QB;cin;h;buf;15.32;403
5;2017;1340;Stafford, Matthew;QB;det;h;car;15.16;340
5;2017;1175;McCown, Josh;QB;nyj;a;cle;14.46;175
5;2017;1225;Manning, Eli;QB;nyg;h;lac;14;225
5;2017;1131;Brady, Tom;QB;nwe;a;tam;13.62;131
5;2017;1412;Wilson, Russell;QB;sea;a;lar;12.52;412
5;2017;1421;Manuel, E.J.;QB;oak;h;bal;11.86;421
5;2017;1435;Keenum, Case;QB;den;h;-;11.8;435
5;2017;1519;Trubisky, Mitchell;QB;chi;h;min;10.32;519
5;2017;1400;Taylor, Tyrod;QB;cle;h;nyj;9.94;400
5;2017;1490;Goff, Jared;QB;lar;h;sea;9.72;490
5;2017;1302;Flacco, Joe;QB;bal;a;oak;8.48;302
5;2017;1241;Cassel, Matt;QB;det;h;car;7.64;241
5;2017;1232;Roethlisberger, Ben;QB;pit;h;jac;7.58;232
5;2017;1263;Cutler, Jay;QB;mia;h;ten;7.48;
5;2017;1442;Bortles, Blake;QB;jac;a;pit;3.7;442
5;2017;1517;Kizer, DeShone;QB;gnb;a;dal;3.38;517
5;2017;1344;Bradford, Sam;QB;ari;a;phi;1.44;344
5;2017;5071;Webb, Joe;QB;hou;h;kan;0;71
5;2017;2991;Gordon, Melvin;RB;lac;a;nyg;31.3;991
5;2017;5534;Fournette, Leonard;RB;jac;a;pit;30.9;534
5;2017;2935;McKinnon, Jerick;RB;sfo;a;ind;23.6;935
5;2017;5543;Jones, Aaron;RB;gnb;a;dal;19.9;543
5;2017;5370;Allen, Javorius;RB;bal;a;oak;16.5;370
5;2017;5548;Mack, Marlon;RB;ind;h;sfo;15.8;548
5;2017;2997;Johnson, Duke;RB;cle;h;nyj;15.8;997
5;2017;2858;Martin, Doug;RB;oak;h;bal;14.7;858
5;2017;2987;West, Charcandrick;RB;kan;a;hou;14.3;987
5;2017;2888;Bell, Le'Veon;RB;pit;h;jac;14.3;888
5;2017;5444;Elliott, Ezekiel;RB;dal;h;gnb;13.7;444
5;2017;2976;Darkwa, Orleans;RB;nyg;h;lac;13.7;
5;2017;5560;Hunt, Kareem;RB;kan;a;hou;13.1;560
5;2017;5536;McCaffrey, Christian;RB;car;a;det;12.3;536
5;2017;2707;McCoy, LeSean;RB;buf;a;cin;11.9;707
5;2017;2552;Lynch, Marshawn;RB;oak;h;bal;11.8;552
5;2017;2911;Cunningham, Benny;RB;chi;h;min;11.7;911
5;2017;5535;Mixon, Joe;RB;cin;h;buf;11.1;535
5;2017;2892;Ellington, Andre;RB;ari;a;phi;10.8;
5;2017;5547;Gallman, Wayne;RB;nyg;h;lac;10.7;547
5;2017;2467;Gore, Frank;RB;mia;h;ten;10.1;467
5;2017;2859;Miller, Lamar;RB;hou;h;kan;9.9;859
5;2017;2954;White, James;RB;nwe;a;tam;9.5;954
5;2017;2908;Juszczyk, Kyle;RB;sfo;a;ind;8.7;908
5;2017;5567;Breida, Matt;RB;sfo;a;ind;8.6;567
5;2017;2969;Crowell, Isaiah;RB;nyj;a;cle;7.7;969
5;2017;5447;Howard, Jordan;RB;chi;h;min;7.6;447
5;2017;2721;Blount, LeGarrette;RB;det;h;car;7.4;721
5;2017;2907;Riddick, Theo;RB;det;h;car;7.3;907
5;2017;2816;Lewis, Dion;RB;ten;a;mia;7.3;816
5;2017;5397;Zenner, Zach;RB;det;h;car;7.1;397
5;2017;2831;Murray, DeMarco;RB;ten;a;mia;6.9;
5;2017;2998;Ajayi, Jay;RB;mia;h;ten;6.9;998
5;2017;2830;Vereen, Shane;RB;nor;h;-;6.5;830
5;2017;2931;Sims, Charles;RB;tam;h;nwe;5.9;931
5;2017;2612;Stewart, Jonathan;RB;nyg;h;lac;5.9;612
5;2017;5450;Collins, Alex;RB;bal;a;oak;5.5;450
5;2017;2819;Powell, Bilal;RB;nyj;a;cle;5.3;819
5;2017;2899;Murray, Latavius;RB;min;a;chi;5.3;899
5;2017;2894;Gillislee, Mike;RB;nor;h;-;5.2;894
5;2017;5586;McKissic, J.D.;RB;sea;a;lar;5.1;586
5;2017;2647;Tolbert, Mike;RB;buf;a;cin;4.9;
5;2017;5402;Rawls, Thomas;RB;nyj;a;cle;4.5;402
5;2017;5583;Clement, Corey;RB;phi;h;ari;4.4;583
5;2017;5575;Ekeler, Austin;RB;lac;a;nyg;4.3;575
5;2017;2889;Bernard, Giovani;RB;cin;h;buf;4.2;889
5;2017;2741;Ivory, Chris;RB;buf;a;cin;4.1;741
5;2017;2992;Gurley, Todd;RB;lar;h;sea;4;992
5;2017;5544;McGuire, Elijah;RB;nyj;a;cle;4;544
5;2017;5441;Brown, Malcolm;RB;lar;h;sea;3.9;441
5;2017;2995;Abdullah, Ameer;RB;det;h;car;3.9;995
5;2017;5490;Richard, Jalen;RB;oak;h;bal;3.7;490
5;2017;2645;Johnson, Chris;RB;ari;a;phi;3.4;
5;2017;2957;Williams, Damien;RB;kan;a;hou;3.3;957
5;2017;2896;Lacy, Eddie;RB;sea;a;lar;3.3;
5;2017;2867;Turbin, Robert;RB;ind;h;sfo;2.9;867
5;2017;2887;Barner, Kenjon;RB;car;a;det;2.3;887
5;2017;2933;Hyde, Carlos;RB;cle;h;nyj;2.3;933
5;2017;3191;Smith, Rod;RB;dal;h;gnb;2.3;191
5;2017;5539;Foreman, D'Onta;RB;hou;h;kan;2.2;539
5;2017;2818;Rodgers, Jacquizz;RB;tam;h;nwe;2;818
5;2017;5492;Smith, Keith;RB;oak;h;bal;2;492
5;2017;2929;West, Terrance;RB;nor;h;-;1.7;929
5;2017;5581;Ham, C.J.;RB;min;a;chi;1.6;581
5;2017;2928;Hill, Jeremy;RB;nwe;a;tam;1.6;928
5;2017;2913;Olawale, Jamize;RB;dal;h;gnb;1.3;913
5;2017;5564;Cohen, Tarik;RB;chi;h;min;1.2;564
5;2017;5588;Penny, Elijhaa;RB;ari;a;phi;1.1;588
5;2017;2871;Morris, Alfred;RB;sfo;a;ind;1;871
5;2017;5537;Conner, James;RB;pit;h;jac;0.9;537
5;2017;5445;Henry, Derrick;RB;ten;a;mia;0.9;445
5;2017;5414;Mostert, Raheem;RB;sfo;a;ind;0.3;414
5;2017;5406;Ripkowski, Aaron;RB;gnb;a;dal;0.2;406
5;2017;5541;Williams, Jamaal;RB;gnb;a;dal;0.1;541
5;2017;2825;Develin, James;RB;nwe;a;tam;0;825
5;2017;5415;Burton, Michael;RB;chi;h;min;0;415
5;2017;2869;Cadet, Travaris;RB;nyj;a;cle;0;869
5;2017;2999;Artis-Payne, Cameron;RB;car;a;det;0;999
5;2017;5405;Grant, Corey;RB;jac;a;pit;0;405
5;2017;5507;Barber, Peyton;RB;tam;h;nwe;0;507
5;2017;5566;Dayes, Matthew;RB;cle;h;nyj;0;566
5;2017;2974;Perry, Senorise;RB;mia;h;ten;0;974
5;2017;2910;Bohanon, Tommy;RB;jac;a;pit;0;910
5;2017;2822;Sherman, Anthony;RB;kan;a;hou;0;822
5;2017;2874;Bolden, Brandon;RB;mia;h;ten;0;874
5;2017;5446;Drake, Kenyan;RB;mia;h;ten;0;446
5;2017;5504;Watt, Derek;RB;lac;a;nyg;0;504
5;2017;5403;Nix, Roosevelt;RB;pit;h;jac;0;403
5;2017;2960;Blue, Alfred;RB;hou;h;kan;0;960
5;2017;5546;Mays, Devante;RB;gnb;a;dal;0;546
5;2017;2820;Jones, Taiwan;RB;buf;a;cin;0;820
5;2017;2805;DiMarco, Patrick;RB;buf;a;cin;0;805
5;2017;5413;Fowler, Jalston;RB;sea;a;lar;0;413
5;2017;2959;Fluellen, David;RB;ten;a;mia;0;959
5;2017;2980;Prosch, Jay;RB;hou;h;kan;0;980
5;2017;5517;Vitale, Dan;RB;cle;h;nyj;0;517
5;2017;2918;Williams, Kerwynn;RB;kan;a;hou;-0.2;918
5;2017;5091;Green, A.J.;WR;cin;h;buf;26.4;91
5;2017;5206;Hopkins, DeAndre;WR;hou;h;kan;25.2;206
5;2017;5263;Adams, Davante;WR;gnb;a;dal;22.1;263
5;2017;5151;Hilton, T.Y.;WR;ind;h;sfo;21.2;151
5;2017;3474;Brown, Antonio;WR;pit;h;jac;20.7;474
5;2017;5454;Fuller, Will;WR;hou;h;kan;19.2;454
5;2017;5323;Beckham Jr., Odell;WR;nyg;h;lac;19;323
5;2017;5167;Hogan, Chris;WR;nwe;a;tam;17.4;167
5;2017;5378;Agholor, Nelson;WR;phi;h;ari;17.3;378
5;2017;3872;Crabtree, Michael;WR;bal;a;oak;17.2;872
5;2017;5163;Beasley, Cole;WR;dal;h;gnb;16.3;163
5;2017;5485;Hill, Tyreek;WR;kan;a;hou;14.8;485
5;2017;3809;Wallace, Mike;WR;phi;h;ari;14.8;809
5;2017;5381;Funchess, Devin;WR;car;a;det;14.8;381
5;2017;5113;Smith, Torrey;WR;car;a;det;14.2;113
5;2017;5205;Goodwin, Marquise;WR;sfo;a;ind;14.1;205
5;2017;5257;Benjamin, Kelvin;WR;car;a;det;13.8;257
5;2017;3891;Bryant, Dez;WR;dal;h;gnb;13.7;
5;2017;3754;Garcon, Pierre;WR;sfo;a;ind;13.4;754
5;2017;3770;Jackson, DeSean;WR;tam;h;nwe;13.1;770
5;2017;5335;Landry, Jarvis;WR;cle;h;nyj;12.9;335
5;2017;5186;Kearse, Jermaine;WR;nyj;a;cle;11.8;186
5;2017;3851;Amendola, Danny;WR;mia;h;ten;11.7;851
5;2017;5255;Cooks, Brandin;WR;lar;h;sea;11;255
5;2017;5217;Woods, Robert;WR;lar;h;sea;9.9;217
5;2017;5481;Louis, Ricardo;WR;cle;h;nyj;9.6;
5;2017;5264;Brown, John;WR;bal;a;oak;9.6;264
5;2017;5199;Austin, Tavon;WR;dal;h;gnb;9.6;199
5;2017;3860;Tate, Brandon;WR;nor;h;-;9.5;860
5;2017;5508;Lewis, Roger;WR;nyg;h;lac;9.4;508
5;2017;5409;Nelson, J.J.;WR;ari;a;phi;9.4;409
5;2017;3751;Nelson, Jordy;WR;oak;h;bal;9.4;751
5;2017;5198;Allen, Keenan;WR;lac;a;nyg;8.7;198
5;2017;5168;Jones, Marvin;WR;det;h;car;8.4;168
5;2017;3501;Fitzgerald, Larry;WR;ari;a;phi;8.1;501
5;2017;5553;Smith-Schuster, JuJu;WR;pit;h;jac;7.8;553
5;2017;2958;Thomas, De'Anthony;WR;kan;a;hou;7.5;958
5;2017;5253;Evans, Mike;WR;tam;h;nwe;7.4;253
5;2017;3830;Maclin, Jeremy;WR;bal;a;oak;7.3;
