Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
2;2017;1131;Brady, Tom;QB;nwe;a;nor;30.78;600
2;2017;1514;Wentz, Carson;QB;phi;a;kan;25.82;700
2;2017;1488;Siemian, Trevor;QB;min;a;pit;23.64;0
2;2017;1151;Brees, Drew;QB;nor;h;nwe;22.24;400
2;2017;1441;Carr, Derek;QB;oak;h;nyj;21.2;600
2;2017;1252;Rodgers, Aaron;QB;gnb;a;atl;19.52;700
2;2017;1501;Prescott, Dak;QB;dal;a;den;17.92;0
2;2017;1518;Watson, Deshaun;QB;hou;a;cin;17.7;200
2;2017;1232;Roethlisberger, Ben;QB;pit;h;min;17.52;0
2;2017;1231;Rivers, Philip;QB;lac;h;mia;17.24;500
2;2017;1207;Palmer, Carson;QB;ari;a;ind;16.88;
2;2017;1254;Smith, Alex;QB;was;a;lar;16.14;900
2;2017;1175;McCown, Josh;QB;nyj;a;oak;15.74;300
2;2017;1302;Flacco, Joe;QB;bal;h;cle;15.58;100
2;2017;1412;Wilson, Russell;QB;sea;h;sfo;15.32;900
2;2017;1301;Ryan, Matt;QB;atl;h;gnb;14.88;0
2;2017;1466;Mariota, Marcus;QB;ten;a;jac;14;200
2;2017;1340;Stafford, Matthew;QB;det;a;nyg;13.18;800
2;2017;1263;Cutler, Jay;QB;mia;a;lac;13.1;
2;2017;1225;Manning, Eli;QB;nyg;h;det;12.56;300
2;2017;1465;Winston, Jameis;QB;tam;h;chi;12.46;500
2;2017;1490;Goff, Jared;QB;lar;h;was;12.06;500
2;2017;1420;Glennon, Mike;QB;ari;a;ind;12.04;0
2;2017;1415;Cousins, Kirk;QB;min;a;pit;11.86;600
2;2017;1378;Newton, Cam;QB;car;h;buf;11.82;100
2;2017;1442;Bortles, Blake;QB;jac;h;ten;11.82;600
2;2017;1400;Taylor, Tyrod;QB;cle;a;bal;10.5;600
2;2017;1496;Brissett, Jacoby;QB;ind;h;ari;9.84;100
2;2017;1403;Dalton, Andy;QB;cin;h;hou;9.46;800
2;2017;1495;Hogan, Kevin;QB;was;a;lar;8.22;0
