Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
9;2017;1490;Goff, Jared;QB;lar;a;nyg;28.44;0
9;2017;1400;Taylor, Tyrod;QB;cle;h;-;26.9;0
9;2017;1501;Prescott, Dak;QB;dal;h;kan;26.66;0
9;2017;1412;Wilson, Russell;QB;sea;h;was;25.58;0
9;2017;1514;Wentz, Carson;QB;phi;h;den;24.76;0
9;2017;1263;Cutler, Jay;QB;mia;h;oak;24.44;
9;2017;1340;Stafford, Matthew;QB;det;a;gnb;22.44;0
9;2017;1378;Newton, Cam;QB;car;h;atl;20.08;0
9;2017;1496;Brissett, Jacoby;QB;ind;a;hou;19.52;0
9;2017;1254;Smith, Alex;QB;was;a;sea;19.42;0
9;2017;1301;Ryan, Matt;QB;atl;a;car;19.42;0
9;2017;1151;Brees, Drew;QB;nor;h;tam;18.72;0
9;2017;1520;Beathard, C.J.;QB;sfo;h;ari;18.36;0
9;2017;1470;Hundley, Brett;QB;sea;h;was;18;0
9;2017;1302;Flacco, Joe;QB;bal;a;ten;17.14;0
9;2017;1175;McCown, Josh;QB;nyj;h;buf;16.9;0
9;2017;1442;Bortles, Blake;QB;jac;h;cin;16.36;0
9;2017;1466;Mariota, Marcus;QB;ten;h;bal;16.32;0
9;2017;1290;Stanton, Drew;QB;cle;h;-;15.24;0
9;2017;1441;Carr, Derek;QB;oak;a;mia;14.7;0
9;2017;1225;Manning, Eli;QB;nyg;h;lar;13.8;0
9;2017;1443;Savage, Tom;QB;nor;h;tam;10.76;0
9;2017;1414;Osweiler, Brock;QB;mia;h;oak;10.32;0
9;2017;1242;Fitzpatrick, Ryan;QB;tam;a;nor;9.72;0
9;2017;1415;Cousins, Kirk;QB;min;h;-;8.28;0
9;2017;1403;Dalton, Andy;QB;cin;a;jac;5.34;0
9;2017;1465;Winston, Jameis;QB;tam;a;nor;3.48;0
9;2017;1484;Mannion, Sean;QB;lar;a;nyg;-0.1;0
9;2017;1426;Smith, Geno;QB;lac;h;-;-0.1;0
9;2017;1413;Foles, Nick;QB;phi;h;den;-0.7;0
9;2017;5562;Kamara, Alvin;RB;nor;h;tam;28.2;0
9;2017;5583;Clement, Corey;RB;phi;h;den;25.1;0
9;2017;2613;Forte, Matt;RB;nyj;h;buf;23.6;
9;2017;2992;Gurley, Todd;RB;lar;a;nyg;23.4;0
9;2017;2552;Lynch, Marshawn;RB;oak;a;mia;19.3;0
9;2017;5536;McCaffrey, Christian;RB;car;h;atl;17.9;0
9;2017;2933;Hyde, Carlos;RB;cle;h;-;17;0
9;2017;5370;Allen, Javorius;RB;bal;a;ten;16;0
9;2017;2553;Peterson, Adrian;RB;was;a;sea;15.7;0
9;2017;5444;Elliott, Ezekiel;RB;dal;h;kan;15.3;0
9;2017;2957;Williams, Damien;RB;kan;a;dal;15.1;0
9;2017;5493;Kelley, Rob;RB;was;a;sea;13.8;0
9;2017;2998;Ajayi, Jay;RB;phi;h;den;13.7;0
9;2017;5446;Drake, Kenyan;RB;mia;h;oak;13.4;0
9;2017;5535;Mixon, Joe;RB;cin;a;jac;12.1;0
9;2017;2741;Ivory, Chris;RB;buf;a;nyj;11.9;0
9;2017;2859;Miller, Lamar;RB;hou;h;ind;10.6;0
9;2017;5445;Henry, Derrick;RB;ten;h;bal;10.6;0
9;2017;2995;Abdullah, Ameer;RB;det;a;gnb;10.2;0
9;2017;5541;Williams, Jamaal;RB;gnb;h;det;10.2;0
9;2017;2907;Riddick, Theo;RB;det;a;gnb;9.3;0
9;2017;2467;Gore, Frank;RB;mia;h;oak;9.2;0
9;2017;2994;Coleman, Tevin;RB;atl;a;car;8.9;0
9;2017;2976;Darkwa, Orleans;RB;nyg;h;lar;8.9;
9;2017;2793;Ingram, Mark;RB;nor;h;tam;8.4;0
9;2017;2930;Freeman, Devonta;RB;atl;a;car;8.4;0
9;2017;5560;Hunt, Kareem;RB;kan;a;dal;8.1;0
9;2017;5402;Rawls, Thomas;RB;nyj;h;buf;8;0
9;2017;2819;Powell, Bilal;RB;nyj;h;buf;7.4;0
9;2017;5507;Barber, Peyton;RB;tam;a;nor;6.4;0
9;2017;2987;West, Charcandrick;RB;kan;a;dal;5.8;0
9;2017;5441;Brown, Malcolm;RB;lar;a;nyg;5.7;0
9;2017;5392;Montgomery, Ty;RB;gnb;h;det;5.6;0
9;2017;2915;Thompson, Chris;RB;was;a;sea;5.1;0
9;2017;2831;Murray, DeMarco;RB;ten;h;bal;5.1;
9;2017;5450;Collins, Alex;RB;bal;a;ten;5.1;0
9;2017;5544;McGuire, Elijah;RB;nyj;h;buf;4.4;0
9;2017;2629;Charles, Jamaal;RB;den;a;phi;4.4;
9;2017;2993;Yeldon, T.J.;RB;jac;h;cin;4.2;0
9;2017;5468;Booker, Devontae;RB;den;a;phi;4;0
9;2017;2896;Lacy, Eddie;RB;sea;h;was;3.9;
9;2017;2721;Blount, LeGarrette;RB;det;a;gnb;3.7;0
9;2017;5539;Foreman, D'Onta;RB;hou;h;ind;3.7;0
9;2017;5586;McKissic, J.D.;RB;sea;h;was;3.6;0
9;2017;2647;Tolbert, Mike;RB;buf;a;nyj;3.1;
9;2017;2830;Vereen, Shane;RB;nor;h;tam;2.9;0
9;2017;5548;Mack, Marlon;RB;ind;a;hou;2.9;0
9;2017;5567;Breida, Matt;RB;sfo;h;ari;2.9;0
9;2017;5473;Smallwood, Wendell;RB;phi;h;den;2.5;0
9;2017;2707;McCoy, LeSean;RB;buf;a;nyj;2.5;0
9;2017;2892;Ellington, Andre;RB;ari;a;sfo;2.4;
9;2017;5543;Jones, Aaron;RB;gnb;h;det;2.1;0
9;2017;2931;Sims, Charles;RB;tam;a;nor;2.1;0
9;2017;5547;Gallman, Wayne;RB;nyg;h;lar;2.1;0
9;2017;5449;Washington, DeAndre;RB;oak;a;mia;1.9;0
9;2017;5405;Grant, Corey;RB;jac;h;cin;1.8;0
9;2017;5490;Richard, Jalen;RB;oak;a;mia;1.4;0
9;2017;2909;Coleman, Derrick;RB;ari;a;sfo;1.4;0
9;2017;5406;Ripkowski, Aaron;RB;gnb;h;det;1.4;0
9;2017;2924;Anderson, C.J.;RB;car;h;atl;1.3;0
9;2017;2910;Bohanon, Tommy;RB;jac;h;cin;1.1;0
9;2017;2871;Morris, Alfred;RB;sfo;h;ari;1.1;0
9;2017;5538;Perine, Samaje;RB;was;a;sea;0.9;0
9;2017;2858;Martin, Doug;RB;oak;a;mia;0.7;0
9;2017;2863;Rainey, Bobby;RB;bal;a;ten;0.6;
9;2017;2918;Williams, Kerwynn;RB;kan;a;dal;0.6;0
9;2017;2980;Prosch, Jay;RB;hou;h;ind;0.6;0
9;2017;2912;Line, Zach;RB;nor;h;tam;0.4;0
9;2017;2999;Artis-Payne, Cameron;RB;car;h;atl;0.3;0
9;2017;5483;Washington, Dwayne;RB;det;a;gnb;0.1;0
9;2017;2889;Bernard, Giovani;RB;cin;a;jac;-0.1;0
9;2017;2908;Juszczyk, Kyle;RB;sfo;h;ari;-0.5;0
9;2017;2612;Stewart, Jonathan;RB;nyg;h;lar;-1.9;0
9;2017;5151;Hilton, T.Y.;WR;ind;a;hou;32;0
9;2017;5168;Jones, Marvin;WR;det;a;gnb;26.2;0
9;2017;5153;Jeffery, Alshon;WR;phi;h;den;23.4;0
9;2017;5217;Woods, Robert;WR;lar;a;nyg;21;0
9;2017;5136;Baldwin, Doug;WR;sea;h;was;20.3;0
9;2017;5216;Williams, Terrance;WR;dal;h;kan;18.6;0
9;2017;5160;Thompson, Deonte;WR;dal;h;kan;17.6;0
9;2017;5206;Hopkins, DeAndre;WR;hou;h;ind;17.6;0
9;2017;5256;Lee, Marqise;WR;jac;h;cin;17.5;0
9;2017;3997;Thomas, Demaryius;WR;den;a;phi;17;0
9;2017;5163;Beasley, Cole;WR;dal;h;kan;16.4;0
9;2017;5182;Matthews, Rishard;WR;ten;h;bal;15;0
9;2017;5089;Jones, Julio;WR;atl;a;car;14.8;0
9;2017;3995;Tate, Golden;WR;det;a;gnb;14.8;0
9;2017;5557;Jones, Zay;WR;buf;a;nyj;14.3;0
9;2017;5485;Hill, Tyreek;WR;kan;a;dal;14.3;0
9;2017;3670;Ginn Jr., Ted;WR;nor;h;tam;13.9;0
9;2017;3830;Maclin, Jeremy;WR;bal;a;ten;13.8;
9;2017;5252;Watkins, Sammy;WR;kan;a;dal;13.2;0
9;2017;5502;Anderson, Robby;WR;nyj;h;buf;12.8;0
9;2017;5335;Landry, Jarvis;WR;cle;h;-;12.2;0
9;2017;5381;Funchess, Devin;WR;car;h;atl;11.1;0
9;2017;5491;Holton, Johnny;WR;oak;a;mia;10.9;0
9;2017;5273;King, Tavarres;WR;min;h;-;10.8;0
9;2017;5459;Thomas, Michael;WR;nor;h;tam;10.5;0
9;2017;3891;Bryant, Dez;WR;dal;h;kan;10.3;
9;2017;5380;Parker, DeVante;WR;mia;h;oak;10.1;0
9;2017;3809;Wallace, Mike;WR;phi;h;den;9.9;0
9;2017;5159;Sanu, Mohamed;WR;atl;a;car;9.8;0
9;2017;3902;Decker, Eric;WR;nwe;h;-;9.6;0
9;2017;5456;Shepard, Sterling;WR;nyg;h;lar;9.5;0
9;2017;3501;Fitzgerald, Larry;WR;ari;a;sfo;9.5;0
