Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
7;2017;1514;Wentz, Carson;QB;phi;h;was;32.02;0
7;2017;1441;Carr, Derek;QB;oak;h;kan;30.18;0
7;2017;1501;Prescott, Dak;QB;dal;a;sfo;29.96;0
7;2017;1412;Wilson, Russell;QB;sea;a;nyg;26.36;0
7;2017;1254;Smith, Alex;QB;was;a;phi;25.68;0
7;2017;1175;McCown, Josh;QB;nyj;a;mia;25.46;0
7;2017;1415;Cousins, Kirk;QB;min;h;bal;24.92;0
7;2017;1465;Winston, Jameis;QB;tam;a;buf;24.36;0
7;2017;1151;Brees, Drew;QB;nor;a;gnb;21.14;0
7;2017;1400;Taylor, Tyrod;QB;cle;h;ten;20.02;0
7;2017;1490;Goff, Jared;QB;lar;h;ari;19.7;0
7;2017;1131;Brady, Tom;QB;nwe;h;atl;18.46;0
7;2017;1301;Ryan, Matt;QB;atl;a;nwe;17.02;0
7;2017;1232;Roethlisberger, Ben;QB;pit;h;cin;16.66;0
7;2017;1442;Bortles, Blake;QB;jac;a;ind;16.3;0
7;2017;1231;Rivers, Philip;QB;lac;h;den;15.32;0
7;2017;1298;Moore, Matt;QB;mia;h;nyj;14.52;
7;2017;1520;Beathard, C.J.;QB;sfo;h;dal;14.4;0
7;2017;1470;Hundley, Brett;QB;sea;a;nyg;12.88;0
7;2017;1263;Cutler, Jay;QB;mia;h;nyj;12.52;
7;2017;1403;Dalton, Andy;QB;cin;a;pit;12.4;0
7;2017;1302;Flacco, Joe;QB;bal;a;min;11.44;0
7;2017;1496;Brissett, Jacoby;QB;ind;h;jac;11.1;0
7;2017;1378;Newton, Cam;QB;car;a;chi;9.44;0
7;2017;1466;Mariota, Marcus;QB;ten;a;cle;8.92;0
7;2017;1435;Keenum, Case;QB;den;a;lac;7.42;0
7;2017;1225;Manning, Eli;QB;nyg;h;sea;7.36;0
7;2017;1488;Siemian, Trevor;QB;min;h;bal;6.68;0
7;2017;1519;Trubisky, Mitchell;QB;chi;h;car;4.58;0
7;2017;1207;Palmer, Carson;QB;ari;a;lar;3.88;
7;2017;1492;Kessler, Cody;QB;jac;a;ind;3.74;0
7;2017;1517;Kizer, DeShone;QB;gnb;h;nor;2.56;0
7;2017;1290;Stanton, Drew;QB;cle;h;ten;1.88;0
7;2017;1521;Rush, Cooper;QB;dal;a;sfo;1.38;0
7;2017;1445;Davis, Austin;QB;sea;a;nyg;-0.1;0
7;2017;1484;Mannion, Sean;QB;lar;h;ari;-0.1;0
7;2017;5444;Elliott, Ezekiel;RB;dal;a;sfo;40.4;0
7;2017;2707;McCoy, LeSean;RB;buf;h;tam;24.7;0
7;2017;2992;Gurley, Todd;RB;lar;h;ari;23.4;0
7;2017;5543;Jones, Aaron;RB;gnb;h;nor;21.3;0
7;2017;2888;Bell, Le'Veon;RB;pit;h;cin;20.7;0
7;2017;2993;Yeldon, T.J.;RB;jac;a;ind;20.7;0
7;2017;2793;Ingram, Mark;RB;nor;a;gnb;19;0
7;2017;2899;Murray, Latavius;RB;min;h;bal;17.3;0
7;2017;2915;Thompson, Chris;RB;was;a;phi;14.9;0
7;2017;5560;Hunt, Kareem;RB;kan;a;oak;13.7;0
7;2017;2954;White, James;RB;nwe;h;atl;13.2;0
7;2017;5562;Kamara, Alvin;RB;nor;a;gnb;13.2;0
7;2017;5575;Ekeler, Austin;RB;lac;h;den;12.4;0
7;2017;5449;Washington, DeAndre;RB;oak;h;kan;11.5;0
7;2017;2933;Hyde, Carlos;RB;cle;h;ten;10.8;0
7;2017;2613;Forte, Matt;RB;nyj;a;mia;10.7;
7;2017;2930;Freeman, Devonta;RB;atl;a;nwe;10.5;0
7;2017;2997;Johnson, Duke;RB;cle;h;ten;10.1;0
7;2017;5490;Richard, Jalen;RB;oak;h;kan;9.6;0
7;2017;2819;Powell, Bilal;RB;nyj;a;mia;9.3;0
7;2017;2998;Ajayi, Jay;RB;mia;h;nyj;9.2;0
7;2017;2969;Crowell, Isaiah;RB;nyj;a;mia;9.1;0
7;2017;2831;Murray, DeMarco;RB;ten;a;cle;9.1;
7;2017;2858;Martin, Doug;RB;oak;h;kan;9;0
7;2017;5370;Allen, Javorius;RB;bal;a;min;8.9;0
7;2017;2741;Ivory, Chris;RB;buf;h;tam;8.7;0
7;2017;2816;Lewis, Dion;RB;ten;a;cle;8.7;0
7;2017;5548;Mack, Marlon;RB;ind;h;jac;8.6;0
7;2017;5535;Mixon, Joe;RB;cin;a;pit;8.3;0
7;2017;5536;McCaffrey, Christian;RB;car;a;chi;8.1;0
7;2017;5583;Clement, Corey;RB;phi;h;was;8;0
7;2017;5564;Cohen, Tarik;RB;chi;h;car;7.5;0
7;2017;2935;McKinnon, Jerick;RB;sfo;h;dal;7.2;0
7;2017;3191;Smith, Rod;RB;dal;a;sfo;7.1;0
7;2017;2924;Anderson, C.J.;RB;car;a;chi;6.6;0
7;2017;5447;Howard, Jordan;RB;chi;h;car;6.5;0
7;2017;2976;Darkwa, Orleans;RB;nyg;h;sea;6.3;
7;2017;5441;Brown, Malcolm;RB;lar;h;ari;6;0
7;2017;5473;Smallwood, Wendell;RB;phi;h;was;4.9;0
7;2017;2991;Gordon, Melvin;RB;lac;h;den;4.9;0
7;2017;2896;Lacy, Eddie;RB;sea;a;nyg;4.8;
7;2017;2612;Stewart, Jonathan;RB;nyg;h;sea;4.8;0
7;2017;2890;Burkhead, Rex;RB;nwe;h;atl;4.7;0
7;2017;5468;Booker, Devontae;RB;den;a;lac;4.3;0
7;2017;5586;McKissic, J.D.;RB;sea;a;nyg;4.3;0
7;2017;2629;Charles, Jamaal;RB;den;a;lac;4.2;
7;2017;5405;Grant, Corey;RB;jac;a;ind;4.1;0
7;2017;5493;Kelley, Rob;RB;was;a;phi;4;0
7;2017;5547;Gallman, Wayne;RB;nyg;h;sea;3.9;0
7;2017;2553;Peterson, Adrian;RB;was;a;phi;3.8;0
7;2017;2918;Williams, Kerwynn;RB;kan;a;oak;3.7;0
7;2017;5402;Rawls, Thomas;RB;nyj;a;mia;3.7;0
7;2017;2647;Tolbert, Mike;RB;buf;h;tam;3.5;
7;2017;2467;Gore, Frank;RB;mia;h;nyj;3.4;0
7;2017;5445;Henry, Derrick;RB;ten;a;cle;3.4;0
7;2017;2894;Gillislee, Mike;RB;nor;a;gnb;3.1;0
7;2017;2957;Williams, Damien;RB;kan;a;oak;3;0
7;2017;5450;Collins, Alex;RB;bal;a;min;3;0
7;2017;2721;Blount, LeGarrette;RB;det;h;-;2.9;0
7;2017;2871;Morris, Alfred;RB;sfo;h;dal;2.9;0
7;2017;5482;Janovich, Andy;RB;den;a;lac;2.7;0
7;2017;2931;Sims, Charles;RB;tam;a;buf;2.5;0
7;2017;2830;Vereen, Shane;RB;nor;a;gnb;2.1;0
