Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
16;2017;1490;Goff, Jared;QB;lar;a;ten;29.44;0
16;2017;1442;Bortles, Blake;QB;jac;a;sfo;28.38;0
16;2017;1415;Cousins, Kirk;QB;min;a;gnb;23.76;0
16;2017;1452;Garoppolo, Jimmy;QB;sfo;h;jac;22.98;0
16;2017;1254;Smith, Alex;QB;was;h;den;20.46;0
16;2017;1465;Winston, Jameis;QB;tam;a;car;19.28;0
16;2017;1519;Trubisky, Mitchell;QB;chi;h;cle;18.12;0
16;2017;1302;Flacco, Joe;QB;bal;h;ind;17.28;0
16;2017;1232;Roethlisberger, Ben;QB;pit;a;hou;16.94;0
16;2017;1378;Newton, Cam;QB;car;h;tam;16.6;0
16;2017;1131;Brady, Tom;QB;nwe;h;buf;16.56;0
16;2017;1231;Rivers, Philip;QB;lac;a;nyj;15.6;0
16;2017;1263;Cutler, Jay;QB;mia;a;kan;15.34;
16;2017;1301;Ryan, Matt;QB;atl;a;nor;15.22;0
16;2017;1412;Wilson, Russell;QB;sea;a;dal;14.62;0
16;2017;1290;Stanton, Drew;QB;cle;a;chi;14.46;0
16;2017;1496;Brissett, Jacoby;QB;ind;a;bal;13.4;0
16;2017;1400;Taylor, Tyrod;QB;cle;a;chi;12.84;0
16;2017;1403;Dalton, Andy;QB;cin;h;det;12.42;0
16;2017;1466;Mariota, Marcus;QB;ten;h;lar;12.4;0
16;2017;1151;Brees, Drew;QB;nor;h;atl;12.16;0
16;2017;1340;Stafford, Matthew;QB;det;a;cin;11.82;0
16;2017;1414;Osweiler, Brock;QB;mia;a;kan;10.42;0
16;2017;1413;Foles, Nick;QB;phi;h;oak;9.52;0
16;2017;1435;Keenum, Case;QB;den;a;was;9.36;0
16;2017;1225;Manning, Eli;QB;nyg;a;ari;8.02;0
16;2017;1470;Hundley, Brett;QB;sea;a;dal;8;0
16;2017;1441;Carr, Derek;QB;oak;a;phi;7.9;0
16;2017;1501;Prescott, Dak;QB;dal;h;sea;7.38;0
16;2017;1472;Petty, Bryce;QB;mia;a;kan;7.06;0
16;2017;1399;Yates, T.J.;QB;hou;h;pit;6.42;
16;2017;1517;Kizer, DeShone;QB;gnb;h;min;6.08;0
16;2017;1487;Heinicke, Taylor;QB;car;h;tam;0.6;0
16;2017;1430;Jones, Landry;QB;pit;a;hou;-0.1;0
16;2017;1336;Hoyer, Brian;QB;nwe;h;buf;-0.1;0
16;2017;2992;Gurley, Todd;RB;lar;a;ten;55.6;0
16;2017;2816;Lewis, Dion;RB;ten;h;lar;35.3;0
16;2017;2889;Bernard, Giovani;RB;cin;h;det;32.8;0
16;2017;2924;Anderson, C.J.;RB;car;h;tam;28.3;0
16;2017;2819;Powell, Bilal;RB;nyj;h;lac;23.5;0
16;2017;2991;Gordon, Melvin;RB;lac;a;nyj;21.8;0
16;2017;2888;Bell, Le'Veon;RB;pit;a;hou;20.7;0
16;2017;2993;Yeldon, T.J.;RB;jac;a;sfo;20.7;0
16;2017;5560;Hunt, Kareem;RB;kan;h;mia;20.6;0
16;2017;2707;McCoy, LeSean;RB;buf;a;nwe;19.7;0
16;2017;2997;Johnson, Duke;RB;cle;a;chi;17.1;0
16;2017;2467;Gore, Frank;RB;mia;a;kan;16.6;0
16;2017;5447;Howard, Jordan;RB;chi;h;cle;16.4;0
16;2017;2933;Hyde, Carlos;RB;cle;a;chi;16.3;0
16;2017;5562;Kamara, Alvin;RB;nor;h;atl;16;0
16;2017;5534;Fournette, Leonard;RB;jac;a;sfo;16;0
16;2017;5444;Elliott, Ezekiel;RB;dal;h;sea;15.8;0
16;2017;2793;Ingram, Mark;RB;nor;h;atl;15.6;0
16;2017;2994;Coleman, Tevin;RB;atl;a;nor;15.2;0
16;2017;5567;Breida, Matt;RB;sfo;h;jac;15.2;0
16;2017;2831;Murray, DeMarco;RB;ten;h;lar;14.9;
16;2017;2998;Ajayi, Jay;RB;phi;h;oak;14.3;0
16;2017;2960;Blue, Alfred;RB;hou;h;pit;13.8;0
16;2017;2908;Juszczyk, Kyle;RB;sfo;h;jac;12.6;0
16;2017;5547;Gallman, Wayne;RB;nyg;a;ari;12.2;0
16;2017;2894;Gillislee, Mike;RB;nor;h;atl;11.3;0
16;2017;5468;Booker, Devontae;RB;den;a;was;11.1;0
16;2017;5604;Green, Tion;RB;det;a;cin;10.3;
16;2017;2552;Lynch, Marshawn;RB;oak;a;phi;10.2;0
16;2017;5450;Collins, Alex;RB;bal;h;ind;9.6;0
16;2017;5538;Perine, Samaje;RB;was;h;den;9.4;0
16;2017;2689;Woodhead, Danny;RB;bal;h;ind;9.1;
16;2017;2899;Murray, Latavius;RB;min;a;gnb;8.5;0
16;2017;2918;Williams, Kerwynn;RB;kan;h;mia;8.5;0
16;2017;5320;Davis, Mike;RB;sea;a;dal;8.3;0
16;2017;2911;Cunningham, Benny;RB;chi;h;cle;8.2;0
16;2017;5536;McCaffrey, Christian;RB;car;h;tam;7.8;0
16;2017;5507;Barber, Peyton;RB;tam;a;car;7.5;0
16;2017;2859;Miller, Lamar;RB;hou;h;pit;7.5;0
16;2017;5548;Mack, Marlon;RB;ind;a;bal;7.4;0
16;2017;2963;Bibbs, Kapri;RB;was;h;den;7.4;0
16;2017;2907;Riddick, Theo;RB;det;a;cin;6.9;0
16;2017;2930;Freeman, Devonta;RB;atl;a;nor;6.6;0
16;2017;3191;Smith, Rod;RB;dal;h;sea;6.3;0
16;2017;2935;McKinnon, Jerick;RB;sfo;h;jac;6.1;0
16;2017;5403;Nix, Roosevelt;RB;pit;a;hou;6.1;0
16;2017;5608;Hill, Brian;RB;cin;h;det;6.1;0
16;2017;5588;Penny, Elijhaa;RB;ari;h;nyg;5.8;0
16;2017;5541;Williams, Jamaal;RB;gnb;h;min;5.8;0
16;2017;2987;West, Charcandrick;RB;kan;h;mia;5.8;0
16;2017;5446;Drake, Kenyan;RB;mia;a;kan;5.7;0
16;2017;5370;Allen, Javorius;RB;bal;h;ind;5.7;0
16;2017;5490;Richard, Jalen;RB;oak;a;phi;5.6;0
16;2017;5495;Foster, D.J.;RB;ari;h;nyg;5.4;0
16;2017;2969;Crowell, Isaiah;RB;nyj;h;lac;5.3;0
16;2017;5535;Mixon, Joe;RB;cin;h;det;5.2;0
16;2017;5564;Cohen, Tarik;RB;chi;h;cle;4.1;0
16;2017;5445;Henry, Derrick;RB;ten;h;lar;4.1;0
16;2017;5482;Janovich, Andy;RB;den;a;was;4.1;0
16;2017;2995;Abdullah, Ameer;RB;det;a;cin;3.6;0
16;2017;5504;Watt, Derek;RB;lac;a;nyj;3.6;0
16;2017;5583;Clement, Corey;RB;phi;h;oak;3;0
16;2017;2931;Sims, Charles;RB;tam;a;car;2.9;0
16;2017;2829;Ridley, Stevan;RB;pit;a;hou;2.8;0
16;2017;2612;Stewart, Jonathan;RB;nyg;a;ari;2.8;0
16;2017;2613;Forte, Matt;RB;nyj;h;lac;2.6;
16;2017;2721;Blount, LeGarrette;RB;det;a;cin;2.5;0
16;2017;2874;Bolden, Brandon;RB;mia;a;kan;2;0
16;2017;5402;Rawls, Thomas;RB;nyj;h;lac;2;0
16;2017;2916;Whittaker, Fozzy;RB;car;h;tam;1.9;
16;2017;2647;Tolbert, Mike;RB;buf;a;nwe;1.8;
16;2017;5561;Henderson, De'Angelo;RB;den;a;was;1.4;0
16;2017;5406;Ripkowski, Aaron;RB;gnb;h;min;1.4;0
16;2017;5543;Jones, Aaron;RB;gnb;h;min;1.3;0
16;2017;2976;Darkwa, Orleans;RB;nyg;a;ari;1;
16;2017;5472;Perkins, Paul;RB;nyg;a;ari;1;
16;2017;5449;Washington, DeAndre;RB;oak;a;phi;0.9;0
16;2017;2982;Oliver, Branden;RB;ind;a;bal;0.9;0
16;2017;2858;Martin, Doug;RB;oak;a;phi;0.7;0
16;2017;5441;Brown, Malcolm;RB;lar;a;ten;0.4;0
16;2017;5566;Dayes, Matthew;RB;cle;a;chi;0.3;0
16;2017;2818;Rodgers, Jacquizz;RB;tam;a;car;0.2;0
16;2017;2805;DiMarco, Patrick;RB;buf;a;nwe;0.2;0
16;2017;5529;Hill, Bronson;RB;gnb;h;min;-0.2;0
16;2017;5544;McGuire, Elijah;RB;nyj;h;lac;-1;0
16;2017;3501;Fitzgerald, Larry;WR;ari;h;nyg;30.74;0
16;2017;5089;Jones, Julio;WR;atl;a;nor;24.9;0
16;2017;5486;Grant, Jakeem;WR;mia;a;kan;24;0
16;2017;5485;Hill, Tyreek;WR;kan;h;mia;19.8;0
16;2017;5570;Cole, Keelan;WR;jac;a;sfo;19.8;0
16;2017;5253;Evans, Mike;WR;tam;a;car;19.7;0
16;2017;5553;Smith-Schuster, JuJu;WR;pit;a;hou;19.5;0
16;2017;3670;Ginn Jr., Ted;WR;nor;h;atl;19;0
16;2017;5151;Hilton, T.Y.;WR;ind;a;bal;19;0
16;2017;5424;Diggs, Stefon;WR;min;a;gnb;17.3;0
16;2017;5206;Hopkins, DeAndre;WR;hou;h;pit;16.5;0
16;2017;5552;Kupp, Cooper;WR;lar;a;ten;16.5;0
16;2017;5376;Cooper, Amari;WR;oak;a;phi;15.6;0
