Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
1;2017;1254;Smith, Alex;QB;was;h;phi;34.02;5600
1;2017;1344;Bradford, Sam;QB;ari;a;det;28.54;5200
1;2017;1340;Stafford, Matthew;QB;det;h;ari;28.08;6500
1;2017;1514;Wentz, Carson;QB;phi;a;was;23.88;6400
1;2017;1488;Siemian, Trevor;QB;min;h;nor;23.66;4600
1;2017;1301;Ryan, Matt;QB;atl;a;chi;20.94;6300
1;2017;1252;Rodgers, Aaron;QB;gnb;h;sea;20.54;7500
1;2017;1400;Taylor, Tyrod;QB;cle;h;pit;19.76;5400
1;2017;1517;Kizer, DeShone;QB;gnb;h;sea;19.58;4500
1;2017;1490;Goff, Jared;QB;lar;h;ind;19.44;6700
1;2017;1466;Mariota, Marcus;QB;ten;h;oak;18.84;6300
1;2017;1441;Carr, Derek;QB;oak;a;ten;18.68;6000
1;2017;1231;Rivers, Philip;QB;lac;a;den;18.68;6400
1;2017;1501;Prescott, Dak;QB;dal;h;nyg;17.12;5500
1;2017;1232;Roethlisberger, Ben;QB;pit;a;cle;16.72;6600
1;2017;1151;Brees, Drew;QB;nor;a;min;15.64;6800
1;2017;1378;Newton, Cam;QB;car;a;sfo;14.14;6900
1;2017;1415;Cousins, Kirk;QB;min;h;nor;13.6;6500
1;2017;1420;Glennon, Mike;QB;ari;a;det;12.52;4100
1;2017;1207;Palmer, Carson;QB;ari;a;det;11.96;
1;2017;1175;McCown, Josh;QB;nyj;a;buf;11.48;4800
1;2017;1131;Brady, Tom;QB;nwe;h;kan;10.68;7200
1;2017;1442;Bortles, Blake;QB;jac;a;hou;10.3;5600
1;2017;1412;Wilson, Russell;QB;sea;a;gnb;9.32;6200
1;2017;1302;Flacco, Joe;QB;bal;a;cin;7.84;4900
1;2017;1225;Manning, Eli;QB;nyg;a;dal;7.7;4700
1;2017;1518;Watson, Deshaun;QB;hou;h;jac;7.68;6700
1;2017;1336;Hoyer, Brian;QB;sfo;h;car;5.22;4900
1;2017;1433;Tolzien, Scott;QB;ind;a;lar;3.32;
1;2017;1496;Brissett, Jacoby;QB;ind;a;lar;2.04;5000
1;2017;1403;Dalton, Andy;QB;cin;h;bal;2;5800
1;2017;1443;Savage, Tom;QB;nor;a;min;0.48;4400
1;2017;1503;Rudock, Jake;QB;det;h;ari;0;4300
1;2017;1234;Schaub, Matt;QB;atl;a;chi;0;4400
1;2017;5071;Webb, Joe;QB;hou;h;jac;0;4000
1;2017;1519;Trubisky, Mitchell;QB;chi;h;atl;0;5600
1;2017;1484;Mannion, Sean;QB;lar;h;ind;-0.22;4200
