Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
11;2017;1412;Wilson, Russell;QB;sea;h;atl;32.92;0
11;2017;1415;Cousins, Kirk;QB;min;h;lar;28.98;0
11;2017;1232;Roethlisberger, Ben;QB;pit;h;ten;28.96;0
11;2017;1131;Brady, Tom;QB;nwe;a;oak;28.56;0
11;2017;1151;Brees, Drew;QB;nor;h;was;25.6;0
11;2017;1466;Mariota, Marcus;QB;ten;a;pit;21.74;0
11;2017;1381;Gabbert, Blaine;QB;ten;a;pit;21.58;0
11;2017;1514;Wentz, Carson;QB;phi;a;dal;20.02;0
11;2017;1242;Fitzpatrick, Ryan;QB;tam;h;-;19.9;0
11;2017;1340;Stafford, Matthew;QB;det;a;chi;19.26;0
11;2017;1400;Taylor, Tyrod;QB;cle;h;jac;19.12;0
11;2017;1403;Dalton, Andy;QB;cin;a;den;18.56;0
11;2017;1231;Rivers, Philip;QB;lac;h;buf;18.04;0
11;2017;1435;Keenum, Case;QB;den;h;cin;17.2;0
11;2017;1301;Ryan, Matt;QB;atl;a;sea;17;0
11;2017;1414;Osweiler, Brock;QB;mia;h;-;15.56;0
11;2017;1443;Savage, Tom;QB;nor;h;was;15.5;0
11;2017;1519;Trubisky, Mitchell;QB;chi;h;det;15.46;0
11;2017;1298;Moore, Matt;QB;mia;h;-;15.28;
11;2017;1441;Carr, Derek;QB;oak;h;nwe;14.48;0
11;2017;1302;Flacco, Joe;QB;bal;a;gnb;10.22;0
11;2017;1254;Smith, Alex;QB;was;a;nor;9.9;0
11;2017;1490;Goff, Jared;QB;lar;a;min;9.8;0
11;2017;1442;Bortles, Blake;QB;jac;a;cle;9.56;0
11;2017;1517;Kizer, DeShone;QB;gnb;h;bal;9.36;0
11;2017;1225;Manning, Eli;QB;nyg;h;kan;8.7;0
11;2017;1470;Hundley, Brett;QB;sea;h;atl;7.46;0
11;2017;1263;Cutler, Jay;QB;mia;h;-;4.42;
11;2017;1501;Prescott, Dak;QB;dal;h;phi;2.8;0
11;2017;1262;Clemens, Kellen;QB;lac;h;buf;1.02;
11;2017;1430;Jones, Landry;QB;pit;h;ten;-0.3;0
11;2017;1522;Peterman, Nathan;QB;buf;a;lac;-1.96;0
11;2017;2707;McCoy, LeSean;RB;buf;a;lac;28.6;0
11;2017;2793;Ingram, Mark;RB;nor;h;was;27.5;0
11;2017;5562;Kamara, Alvin;RB;nor;h;was;25.6;0
11;2017;5539;Foreman, D'Onta;RB;hou;h;ari;23;0
11;2017;2899;Murray, Latavius;RB;min;h;lar;22.6;0
11;2017;5538;Perine, Samaje;RB;was;a;nor;22.6;0
11;2017;5447;Howard, Jordan;RB;chi;h;det;21.5;0
11;2017;2888;Bell, Le'Veon;RB;pit;h;ten;19.3;0
11;2017;2816;Lewis, Dion;RB;ten;a;pit;18.8;0
11;2017;2859;Miller, Lamar;RB;hou;h;ari;18.3;0
11;2017;5450;Collins, Alex;RB;bal;a;gnb;17.1;0
11;2017;2976;Darkwa, Orleans;RB;nyg;h;kan;17;
11;2017;5534;Fournette, Leonard;RB;jac;a;cle;16.8;0
11;2017;2997;Johnson, Duke;RB;cle;h;jac;16.6;0
11;2017;5564;Cohen, Tarik;RB;chi;h;det;15.9;0
11;2017;5468;Booker, Devontae;RB;den;h;cin;14.8;0
11;2017;2992;Gurley, Todd;RB;lar;a;min;14.6;0
11;2017;2991;Gordon, Melvin;RB;lac;h;buf;14;0
11;2017;5575;Ekeler, Austin;RB;lac;h;buf;13.8;0
11;2017;5541;Williams, Jamaal;RB;gnb;h;bal;13.5;0
11;2017;5583;Clement, Corey;RB;phi;a;dal;13;0
11;2017;2994;Coleman, Tevin;RB;atl;a;sea;12.8;0
11;2017;2924;Anderson, C.J.;RB;car;h;-;12.6;0
11;2017;2869;Cadet, Travaris;RB;buf;a;lac;11.6;0
11;2017;2995;Abdullah, Ameer;RB;det;a;chi;11.5;0
11;2017;2957;Williams, Damien;RB;kan;a;nyg;11.2;0
11;2017;2998;Ajayi, Jay;RB;phi;a;dal;11.1;0
11;2017;2935;McKinnon, Jerick;RB;sfo;h;-;11;0
11;2017;5560;Hunt, Kareem;RB;kan;a;nyg;10.7;0
11;2017;2915;Thompson, Chris;RB;was;a;nor;10.3;0
11;2017;5586;McKissic, J.D.;RB;sea;h;atl;10.3;0
11;2017;2831;Murray, DeMarco;RB;ten;a;pit;9.7;
11;2017;2887;Barner, Kenjon;RB;car;h;-;9.6;0
11;2017;2871;Morris, Alfred;RB;sfo;h;-;9.1;0
11;2017;2552;Lynch, Marshawn;RB;oak;h;nwe;8.7;0
11;2017;5320;Davis, Mike;RB;sea;h;atl;7.9;0
11;2017;2890;Burkhead, Rex;RB;nwe;a;oak;7.7;0
11;2017;2689;Woodhead, Danny;RB;bal;a;gnb;7.3;
11;2017;5535;Mixon, Joe;RB;cin;a;den;6.9;0
11;2017;2987;West, Charcandrick;RB;kan;a;nyg;6.4;0
11;2017;2858;Martin, Doug;RB;oak;h;nwe;6.4;0
11;2017;2931;Sims, Charles;RB;tam;h;-;5.8;0
11;2017;2721;Blount, LeGarrette;RB;det;a;chi;5.7;0
11;2017;5375;Ward, Terron;RB;atl;a;sea;5.2;
11;2017;2907;Riddick, Theo;RB;det;a;chi;4.9;0
11;2017;2553;Peterson, Adrian;RB;was;a;nor;4.9;0
11;2017;2830;Vereen, Shane;RB;nor;h;was;4.8;0
11;2017;5490;Richard, Jalen;RB;oak;h;nwe;4.8;0
11;2017;5495;Foster, D.J.;RB;ari;a;hou;4.6;0
