Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
17;2017;1231;Rivers, Philip;QB;lac;h;oak;30.98;0
17;2017;1340;Stafford, Matthew;QB;det;h;gnb;30.12;0
17;2017;1465;Winston, Jameis;QB;tam;h;nor;29.72;0
17;2017;1517;Kizer, DeShone;QB;gnb;a;det;28.66;0
17;2017;1301;Ryan, Matt;QB;atl;h;car;21.08;0
17;2017;1403;Dalton, Andy;QB;cin;a;bal;20.68;0
17;2017;1412;Wilson, Russell;QB;sea;h;ari;20.44;0
17;2017;1476;Fales, David;QB;mia;h;buf;20.4;0
17;2017;1452;Garoppolo, Jimmy;QB;sfo;a;lar;17.58;0
17;2017;1516;Lynch, Paxton;QB;den;h;kan;16.46;0
17;2017;1400;Taylor, Tyrod;QB;cle;a;pit;15.66;0
17;2017;1131;Brady, Tom;QB;nwe;h;nyj;15.6;0
17;2017;1302;Flacco, Joe;QB;bal;h;cin;15.12;0
17;2017;1466;Mariota, Marcus;QB;ten;h;jac;14.36;0
17;2017;1378;Newton, Cam;QB;car;a;atl;14.1;0
17;2017;1151;Brees, Drew;QB;nor;a;tam;14;0
17;2017;1470;Hundley, Brett;QB;sea;h;ari;13.38;0
17;2017;1501;Prescott, Dak;QB;dal;a;phi;12.76;0
17;2017;1441;Carr, Derek;QB;oak;a;lac;11.82;0
17;2017;1435;Keenum, Case;QB;den;h;kan;11.56;0
17;2017;1523;Mahomes II, Patrick;QB;kan;a;den;11.36;0
17;2017;1430;Jones, Landry;QB;pit;h;cle;10.96;0
17;2017;1415;Cousins, Kirk;QB;min;h;chi;10.52;0
17;2017;1496;Brissett, Jacoby;QB;ind;h;hou;10.36;0
17;2017;1472;Petty, Bryce;QB;mia;h;buf;9.18;0
17;2017;1290;Stanton, Drew;QB;cle;a;pit;8.7;0
17;2017;1225;Manning, Eli;QB;nyg;h;was;7.88;0
17;2017;1507;Sudfeld, Nate;QB;phi;h;dal;7.56;0
17;2017;1519;Trubisky, Mitchell;QB;chi;a;min;7.32;0
17;2017;1484;Mannion, Sean;QB;lar;h;sfo;6.16;0
17;2017;1399;Yates, T.J.;QB;hou;a;ind;5.38;
17;2017;1442;Bortles, Blake;QB;jac;a;ten;5.22;0
17;2017;1413;Foles, Nick;QB;phi;h;dal;0.56;0
17;2017;1510;Callahan, Joe;QB;phi;h;dal;0.44;0
17;2017;1263;Cutler, Jay;QB;mia;h;buf;0.24;
17;2017;1336;Hoyer, Brian;QB;nwe;h;nyj;0.2;0
17;2017;1262;Clemens, Kellen;QB;lac;h;oak;-0.2;
17;2017;1418;Bray, Tyler;QB;chi;a;min;-1;0
17;2017;2816;Lewis, Dion;RB;ten;h;jac;31.3;0
17;2017;5562;Kamara, Alvin;RB;nor;a;tam;30.8;0
17;2017;2899;Murray, Latavius;RB;min;h;chi;27.4;0
17;2017;2930;Freeman, Devonta;RB;atl;h;car;25.8;0
17;2017;2976;Darkwa, Orleans;RB;nyg;h;was;24.4;
17;2017;2933;Hyde, Carlos;RB;cle;a;pit;23;0
17;2017;2997;Johnson, Duke;RB;cle;a;pit;20.5;0
17;2017;5444;Elliott, Ezekiel;RB;dal;a;phi;20.1;0
17;2017;5445;Henry, Derrick;RB;ten;h;jac;18.7;0
17;2017;2991;Gordon, Melvin;RB;lac;h;oak;18.4;0
17;2017;2963;Bibbs, Kapri;RB;was;a;nyg;18;0
17;2017;5534;Fournette, Leonard;RB;jac;a;ten;17.6;0
17;2017;5450;Collins, Alex;RB;bal;h;cin;17.6;0
17;2017;2960;Blue, Alfred;RB;hou;a;ind;17.5;0
17;2017;2467;Gore, Frank;RB;mia;h;buf;17.1;0
17;2017;5507;Barber, Peyton;RB;tam;h;nor;16.9;0
17;2017;2552;Lynch, Marshawn;RB;oak;a;lac;16.9;0
17;2017;2822;Sherman, Anthony;RB;kan;a;den;15.1;0
17;2017;5541;Williams, Jamaal;RB;gnb;a;det;14.3;0
17;2017;2829;Ridley, Stevan;RB;pit;h;cle;14;0
17;2017;2889;Bernard, Giovani;RB;cin;a;bal;13;0
17;2017;5446;Drake, Kenyan;RB;mia;h;buf;12;0
17;2017;5548;Mack, Marlon;RB;ind;h;hou;11.8;0
17;2017;5567;Breida, Matt;RB;sfo;a;lar;11.4;0
17;2017;5561;Henderson, De'Angelo;RB;den;h;kan;11.4;0
17;2017;5536;McCaffrey, Christian;RB;car;a;atl;10.4;0
17;2017;5441;Brown, Malcolm;RB;lar;h;sfo;10.1;0
17;2017;5588;Penny, Elijhaa;RB;ari;a;sea;9.9;0
17;2017;2995;Abdullah, Ameer;RB;det;h;gnb;9.9;0
17;2017;5535;Mixon, Joe;RB;cin;a;bal;9.7;0
17;2017;5560;Hunt, Kareem;RB;kan;a;den;9.5;0
17;2017;2793;Ingram, Mark;RB;nor;a;tam;9.4;0
17;2017;2880;Dunbar, Lance;RB;lar;h;sfo;9.1;
17;2017;2918;Williams, Kerwynn;RB;kan;a;den;9.1;0
17;2017;5547;Gallman, Wayne;RB;nyg;h;was;8.9;0
17;2017;5564;Cohen, Tarik;RB;chi;a;min;8.7;0
17;2017;5320;Davis, Mike;RB;sea;h;ari;8.4;0
17;2017;2912;Line, Zach;RB;nor;a;tam;7.8;0
17;2017;5396;Murphy, Marcus;RB;buf;a;mia;6.8;0
17;2017;2819;Powell, Bilal;RB;nyj;a;nwe;6.6;0
17;2017;2874;Bolden, Brandon;RB;mia;h;buf;6.3;0
