Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
2;2017;1131;Brady, Tom;QB;nwe;a;nor;33.78;200
2;2017;1514;Wentz, Carson;QB;phi;a;kan;28.82;400
2;2017;1151;Brees, Drew;QB;nor;h;nwe;25.24;800
2;2017;1488;Siemian, Trevor;QB;min;a;pit;24.64;600
2;2017;1252;Rodgers, Aaron;QB;gnb;a;atl;23.52;500
2;2017;1441;Carr, Derek;QB;oak;h;nyj;21.2;0
2;2017;1231;Rivers, Philip;QB;lac;h;mia;20.24;400
2;2017;1207;Palmer, Carson;QB;ari;a;ind;19.88;
2;2017;1501;Prescott, Dak;QB;dal;a;den;17.92;500
2;2017;1518;Watson, Deshaun;QB;hou;a;cin;17.7;700
2;2017;1232;Roethlisberger, Ben;QB;pit;h;min;17.52;600
2;2017;1175;McCown, Josh;QB;nyj;a;oak;16.74;800
2;2017;1254;Smith, Alex;QB;was;a;lar;16.14;600
2;2017;1420;Glennon, Mike;QB;ari;a;ind;16.04;100
2;2017;1302;Flacco, Joe;QB;bal;h;cle;15.58;900
2;2017;1412;Wilson, Russell;QB;sea;h;sfo;15.32;200
2;2017;1301;Ryan, Matt;QB;atl;h;gnb;14.88;300
2;2017;1340;Stafford, Matthew;QB;det;a;nyg;14.18;500
2;2017;1466;Mariota, Marcus;QB;ten;a;jac;14;300
2;2017;1263;Cutler, Jay;QB;mia;a;lac;13.1;
2;2017;1442;Bortles, Blake;QB;jac;h;ten;12.82;600
2;2017;1225;Manning, Eli;QB;nyg;h;det;12.56;700
2;2017;1465;Winston, Jameis;QB;tam;h;chi;12.46;500
2;2017;1490;Goff, Jared;QB;lar;h;was;12.06;700
2;2017;1415;Cousins, Kirk;QB;min;a;pit;11.86;500
2;2017;1378;Newton, Cam;QB;car;h;buf;11.82;900
2;2017;1400;Taylor, Tyrod;QB;cle;a;bal;10.5;400
2;2017;1496;Brissett, Jacoby;QB;ind;h;ari;9.84;0
2;2017;1403;Dalton, Andy;QB;cin;h;hou;9.46;800
2;2017;1495;Hogan, Kevin;QB;was;a;lar;8.22;0
2;2017;1435;Keenum, Case;QB;den;h;dal;6.68;100
2;2017;1517;Kizer, DeShone;QB;gnb;a;atl;5.88;500
2;2017;1336;Hoyer, Brian;QB;sfo;a;sea;2.96;900
2;2017;1242;Fitzpatrick, Ryan;QB;tam;h;chi;-0.2;0
2;2017;2924;Anderson, C.J.;RB;car;h;buf;33.4;200
2;2017;5392;Montgomery, Ty;RB;gnb;a;atl;29;700
2;2017;2992;Gurley, Todd;RB;lar;h;was;27.6;300
2;2017;5560;Hunt, Kareem;RB;kan;h;phi;25.9;900
2;2017;2915;Thompson, Chris;RB;was;a;lar;25.6;700
2;2017;2930;Freeman, Devonta;RB;atl;h;gnb;24;600
2;2017;5370;Allen, Javorius;RB;bal;h;cle;21.1;200
2;2017;2991;Gordon, Melvin;RB;lac;h;mia;20.8;800
2;2017;2933;Hyde, Carlos;RB;cle;a;bal;20.3;500
2;2017;5490;Richard, Jalen;RB;oak;h;nyj;18.9;200
2;2017;2954;White, James;RB;nwe;a;nor;17.6;0
2;2017;2998;Ajayi, Jay;RB;mia;a;lac;17.6;500
2;2017;5445;Henry, Derrick;RB;ten;a;jac;15.2;400
2;2017;5534;Fournette, Leonard;RB;jac;h;ten;14.1;100
2;2017;5564;Cohen, Tarik;RB;chi;a;tam;13.8;800
2;2017;2890;Burkhead, Rex;RB;nwe;a;nor;13.4;200
2;2017;2613;Forte, Matt;RB;nyj;a;oak;13.1;
2;2017;2888;Bell, Le'Veon;RB;pit;h;min;13.1;400
2;2017;2894;Gillislee, Mike;RB;nor;h;nwe;12.9;400
2;2017;2818;Rodgers, Jacquizz;RB;tam;h;chi;12.7;600
2;2017;2929;West, Terrance;RB;nor;h;nwe;12.5;0
2;2017;2994;Coleman, Tevin;RB;atl;h;gnb;12.5;400
2;2017;2552;Lynch, Marshawn;RB;oak;h;nyj;11.9;100
2;2017;2859;Miller, Lamar;RB;hou;a;cin;11.7;200
2;2017;2793;Ingram, Mark;RB;nor;h;nwe;11.6;700
2;2017;5565;Carson, Chris;RB;sea;h;sfo;11;500
2;2017;2997;Johnson, Duke;RB;cle;a;bal;11;700
2;2017;2467;Gore, Frank;RB;mia;a;lac;10.6;700
2;2017;2707;McCoy, LeSean;RB;buf;a;car;10.3;0
2;2017;2484;Sproles, Darren;RB;phi;a;kan;8.8;800
2;2017;2995;Abdullah, Ameer;RB;det;a;nyg;8.6;800
2;2017;2830;Vereen, Shane;RB;nor;h;nwe;8.5;700
2;2017;5562;Kamara, Alvin;RB;nor;h;nwe;8.4;500
2;2017;5536;McCaffrey, Christian;RB;car;h;buf;8.4;400
2;2017;5559;Cook, Dalvin;RB;min;a;pit;8.4;200
2;2017;2741;Ivory, Chris;RB;buf;a;car;7.8;900
2;2017;5493;Kelley, Rob;RB;was;a;lar;7.8;500
2;2017;5538;Perine, Samaje;RB;was;a;lar;7.7;900
2;2017;2907;Riddick, Theo;RB;det;a;nyg;6.7;200
2;2017;5449;Washington, DeAndre;RB;oak;h;nyj;6.5;0
2;2017;5413;Fowler, Jalston;RB;sea;h;sfo;6.3;0
2;2017;5444;Elliott, Ezekiel;RB;dal;a;den;6.2;700
2;2017;2629;Charles, Jamaal;RB;den;h;dal;6.2;
2;2017;5581;Ham, C.J.;RB;min;a;pit;6.1;0
2;2017;2935;McKinnon, Jerick;RB;sfo;a;sea;5.5;800
