Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
3;2017;1131;Brady, Tom;QB;nwe;h;hou;39.72;200
3;2017;1412;Wilson, Russell;QB;sea;a;ten;36.52;200
3;2017;1435;Keenum, Case;QB;den;a;buf;31.56;100
3;2017;1336;Hoyer, Brian;QB;sfo;h;lar;30.18;900
3;2017;1415;Cousins, Kirk;QB;min;h;tam;29.8;500
3;2017;1252;Rodgers, Aaron;QB;gnb;h;cin;28.82;500
3;2017;1496;Brissett, Jacoby;QB;ind;h;cle;27.76;0
3;2017;1225;Manning, Eli;QB;nyg;a;phi;27.64;700
3;2017;1442;Bortles, Blake;QB;jac;h;bal;27.56;600
3;2017;1518;Watson, Deshaun;QB;hou;a;nwe;25.14;700
3;2017;1517;Kizer, DeShone;QB;gnb;h;cin;25.08;500
3;2017;1207;Palmer, Carson;QB;ari;h;dal;24.7;
3;2017;1490;Goff, Jared;QB;lar;a;sfo;23.58;700
3;2017;1501;Prescott, Dak;QB;dal;a;ari;22.92;500
3;2017;1465;Winston, Jameis;QB;tam;a;min;21.52;500
3;2017;1151;Brees, Drew;QB;nor;a;car;20.8;800
3;2017;1466;Mariota, Marcus;QB;ten;h;sea;19.7;300
3;2017;1400;Taylor, Tyrod;QB;cle;a;ind;17.82;400
3;2017;1301;Ryan, Matt;QB;atl;a;det;16.66;300
3;2017;1340;Stafford, Matthew;QB;det;h;atl;16.46;500
3;2017;1403;Dalton, Andy;QB;cin;a;gnb;16.28;800
3;2017;1254;Smith, Alex;QB;was;h;oak;15.1;600
3;2017;1175;McCown, Josh;QB;nyj;h;mia;14.66;800
3;2017;1514;Wentz, Carson;QB;phi;h;nyg;13.24;400
3;2017;1232;Roethlisberger, Ben;QB;pit;a;chi;13;600
3;2017;1263;Cutler, Jay;QB;mia;a;nyj;12.7;
3;2017;1378;Newton, Cam;QB;car;h;nor;11.28;900
3;2017;1488;Siemian, Trevor;QB;min;h;tam;9.56;600
3;2017;1420;Glennon, Mike;QB;ari;h;dal;7.44;100
3;2017;1441;Carr, Derek;QB;oak;a;was;7.22;0
3;2017;1231;Rivers, Philip;QB;lac;h;kan;6.48;400
