Week;Year;GID;Name;Pos;Team;h/a;Oppt;DK points;DK salary
5;2017;1518;Watson, Deshaun;QB;hou;h;kan;35.54;518
5;2017;1514;Wentz, Carson;QB;phi;h;ari;31.26;514
5;2017;1501;Prescott, Dak;QB;dal;h;gnb;30.74;501
5;2017;1254;Smith, Alex;QB;was;h;-;29.86;254
5;2017;1378;Newton, Cam;QB;car;a;det;29.2;378
5;2017;1336;Hoyer, Brian;QB;sfo;a;ind;25.12;336
5;2017;1252;Rodgers, Aaron;QB;gnb;a;dal;24.04;252
5;2017;1496;Brissett, Jacoby;QB;ind;h;sfo;21.96;496
5;2017;1231;Rivers, Philip;QB;lac;a;nyg;21.82;231
5;2017;1465;Winston, Jameis;QB;tam;h;nwe;21.46;465
5;2017;1403;Dalton, Andy;QB;cin;h;buf;18.32;403
5;2017;1495;Hogan, Kevin;QB;was;h;-;17.76;495
5;2017;1131;Brady, Tom;QB;nwe;a;tam;17.62;131
5;2017;1340;Stafford, Matthew;QB;det;h;car;16.16;340
5;2017;1207;Palmer, Carson;QB;ari;a;phi;15.64;
5;2017;1225;Manning, Eli;QB;nyg;h;lac;15;225
5;2017;1175;McCown, Josh;QB;nyj;a;cle;14.46;175
5;2017;1412;Wilson, Russell;QB;sea;a;lar;12.52;412
5;2017;1421;Manuel, E.J.;QB;oak;h;bal;11.86;421
5;2017;1435;Keenum, Case;QB;den;h;-;11.8;435
5;2017;1519;Trubisky, Mitchell;QB;chi;h;min;11.32;519
5;2017;1490;Goff, Jared;QB;lar;h;sea;10.72;490
5;2017;1232;Roethlisberger, Ben;QB;pit;h;jac;10.58;232
5;2017;1400;Taylor, Tyrod;QB;cle;h;nyj;9.94;400
5;2017;1241;Cassel, Matt;QB;det;h;car;8.64;241
5;2017;1302;Flacco, Joe;QB;bal;a;oak;8.48;302
5;2017;1263;Cutler, Jay;QB;mia;h;ten;7.48;
5;2017;1517;Kizer, DeShone;QB;gnb;a;dal;4.38;517
5;2017;1442;Bortles, Blake;QB;jac;a;pit;3.7;442
5;2017;1344;Bradford, Sam;QB;ari;a;phi;1.44;344
5;2017;5071;Webb, Joe;QB;hou;h;kan;0;71
5;2017;2991;Gordon, Melvin;RB;lac;a;nyg;37.3;991
5;2017;5534;Fournette, Leonard;RB;jac;a;pit;34.4;534
5;2017;2935;McKinnon, Jerick;RB;sfo;a;ind;26.6;935
5;2017;5543;Jones, Aaron;RB;gnb;a;dal;23.4;543
5;2017;2888;Bell, Le'Veon;RB;pit;h;jac;19.3;888
5;2017;5370;Allen, Javorius;RB;bal;a;oak;18.5;370
5;2017;5560;Hunt, Kareem;RB;kan;a;hou;17.6;560
5;2017;2997;Johnson, Duke;RB;cle;h;nyj;17.3;997
5;2017;5444;Elliott, Ezekiel;RB;dal;h;gnb;17.2;444
5;2017;5548;Mack, Marlon;RB;ind;h;sfo;16.3;548
5;2017;2892;Ellington, Andre;RB;ari;a;phi;15.3;
5;2017;2987;West, Charcandrick;RB;kan;a;hou;15.3;987
5;2017;2858;Martin, Doug;RB;oak;h;bal;15.2;858
5;2017;2707;McCoy, LeSean;RB;buf;a;cin;14.9;707
5;2017;5536;McCaffrey, Christian;RB;car;a;det;14.8;536
5;2017;2976;Darkwa, Orleans;RB;nyg;h;lac;14.2;
5;2017;5547;Gallman, Wayne;RB;nyg;h;lac;13.2;547
5;2017;2954;White, James;RB;nwe;a;tam;13;954
5;2017;2911;Cunningham, Benny;RB;chi;h;min;12.7;911
5;2017;2552;Lynch, Marshawn;RB;oak;h;bal;12.3;552
5;2017;2467;Gore, Frank;RB;mia;h;ten;11.6;467
5;2017;5535;Mixon, Joe;RB;cin;h;buf;11.1;535
5;2017;2859;Miller, Lamar;RB;hou;h;kan;10.9;859
5;2017;5567;Breida, Matt;RB;sfo;a;ind;10.1;567
5;2017;2831;Murray, DeMarco;RB;ten;a;mia;9.9;
5;2017;2908;Juszczyk, Kyle;RB;sfo;a;ind;9.7;908
5;2017;2907;Riddick, Theo;RB;det;h;car;9.3;907
5;2017;2998;Ajayi, Jay;RB;mia;h;ten;8.9;998
5;2017;2969;Crowell, Isaiah;RB;nyj;a;cle;8.7;969
5;2017;2830;Vereen, Shane;RB;nor;h;-;8.5;830
5;2017;2931;Sims, Charles;RB;tam;h;nwe;8.4;931
5;2017;2816;Lewis, Dion;RB;ten;a;mia;8.3;816
5;2017;5447;Howard, Jordan;RB;chi;h;min;7.6;447
5;2017;2721;Blount, LeGarrette;RB;det;h;car;7.4;721
5;2017;2612;Stewart, Jonathan;RB;nyg;h;lac;7.4;612
5;2017;2819;Powell, Bilal;RB;nyj;a;cle;7.3;819
5;2017;5397;Zenner, Zach;RB;det;h;car;7.1;397
5;2017;5586;McKissic, J.D.;RB;sea;a;lar;6.6;586
5;2017;2647;Tolbert, Mike;RB;buf;a;cin;6.4;
5;2017;2899;Murray, Latavius;RB;min;a;chi;6.3;899
5;2017;2992;Gurley, Todd;RB;lar;h;sea;6;992
5;2017;5575;Ekeler, Austin;RB;lac;a;nyg;5.8;575
5;2017;5402;Rawls, Thomas;RB;nyj;a;cle;5.5;402
5;2017;5450;Collins, Alex;RB;bal;a;oak;5.5;450
5;2017;2889;Bernard, Giovani;RB;cin;h;buf;5.2;889
5;2017;2894;Gillislee, Mike;RB;nor;h;-;5.2;894
5;2017;5544;McGuire, Elijah;RB;nyj;a;cle;5;544
5;2017;5441;Brown, Malcolm;RB;lar;h;sea;4.9;441
5;2017;5583;Clement, Corey;RB;phi;h;ari;4.9;583
5;2017;2995;Abdullah, Ameer;RB;det;h;car;4.4;995
5;2017;2741;Ivory, Chris;RB;buf;a;cin;4.1;741
5;2017;2645;Johnson, Chris;RB;ari;a;phi;3.9;
5;2017;2867;Turbin, Robert;RB;ind;h;sfo;3.9;867
5;2017;2957;Williams, Damien;RB;kan;a;hou;3.8;957
5;2017;2896;Lacy, Eddie;RB;sea;a;lar;3.8;
5;2017;5539;Foreman, D'Onta;RB;hou;h;kan;3.7;539
